,straat,huisnr,adres,vergunning,vergund tot
1727,Laurens van Kuikstraat,53,Laurens van Kuikstraat 53,alcoholvergunning,2025-11-22
1728,Putselaan,27,Putselaan 27,alcoholvergunning,2023-08-22
1729,Bolnesservliet,78,Bolnesservliet 78,exploitatievergunning,2027-02-17
1730,Oude Watering,121,Oude Watering 121,alcoholvergunning,2026-07-29
1731,Thurledeweg,98,Thurledeweg 98,alcoholvergunning,2024-12-28
1732,Averkamp,72,Averkamp 72,omgevingsvergunning,2023-08-09
1733,Korte Kromhout,50,Korte Kromhout 50,alcoholvergunning,2025-02-01
1734,IJsclubstraat,159,IJsclubstraat 159,omgevingsvergunning,2022-12-08
1735,Vredenoordlaan,41,Vredenoordlaan 41,omgevingsvergunning,2025-10-22
1736,Walstroplein,166,Walstroplein 166,nachthoreca,2023-01-18
1737,Anjerstraat,107,Anjerstraat 107,nachthoreca,2027-04-10
1738,Willem Beukelszstraat,172,Willem Beukelszstraat 172,terrasvergunning,2024-05-27
1739,Gondelpad,130,Gondelpad 130,terrasvergunning,2025-06-09
1740,Mijnsherenplein,89,Mijnsherenplein 89,nachthoreca,2023-08-20
1741,Schaepmanstraat,90,Schaepmanstraat 90,alcoholvergunning,2022-08-24
1742,Herman Gorterstraat,90,Herman Gorterstraat 90,omgevingsvergunning,2026-10-07
1743,Notarisappelhof,175,Notarisappelhof 175,alcoholvergunning,2023-02-16
1744,Dukdalfpad,31,Dukdalfpad 31,alcoholvergunning,2025-06-23
1745,Ooltgensplaathof,189,Ooltgensplaathof 189,nachthoreca,2026-05-16
1746,Ossenisseweg,150,Ossenisseweg 150,alcoholvergunning,2023-12-22
1747,Rijstgras,28,Rijstgras 28,terrasvergunning,2022-09-28
1748,Overschiese Dorpsstraat,11,Overschiese Dorpsstraat 11,terrasvergunning,2026-09-06
1749,Friesestraat,184,Friesestraat 184,terrasvergunning,2023-06-28
1750,Louis van Roodelaan,98,Louis van Roodelaan 98,terrasvergunning,2024-08-20
1751,Botersloothof,49,Botersloothof 49,omgevingsvergunning,2026-06-06
1752,Homerusstraat,91,Homerusstraat 91,alcoholvergunning,2023-05-14
1753,Paardebloem,128,Paardebloem 128,alcoholvergunning,2026-11-10
1754,Streepvaren,47,Streepvaren 47,alcoholvergunning,2027-02-12
1755,Blokfluit,66,Blokfluit 66,omgevingsvergunning,2023-05-10
1756,Plantagestraat,171,Plantagestraat 171,omgevingsvergunning,2023-05-16
1757,Does,88,Does 88,omgevingsvergunning,2025-06-09
1758,Willem Beukelszstraat,88,Willem Beukelszstraat 88,omgevingsvergunning,2023-06-03
1759,Friesestraat,119,Friesestraat 119,omgevingsvergunning,2025-03-12
1760,Parklaan,43,Parklaan 43,nachthoreca,2026-12-01
1761,Erasmusstraat,195,Erasmusstraat 195,nachthoreca,2023-10-16
1762,Zwijndrechtsestraat,164,Zwijndrechtsestraat 164,terrasvergunning,2025-06-05
1763,Veenoord,164,Veenoord 164,alcoholvergunning,2027-04-17
1764,Sardiniëhof,1,Sardiniëhof 1,alcoholvergunning,2022-12-06
1765,Slingeplein,84,Slingeplein 84,exploitatievergunning,2022-07-25
1766,Bruijnstraat,185,Bruijnstraat 185,nachthoreca,2024-03-09
1767,Snellinckstraat,170,Snellinckstraat 170,terrasvergunning,2027-05-08
1768,Notenhagen,83,Notenhagen 83,nachthoreca,2025-07-30
1769,Buizengat,36,Buizengat 36,terrasvergunning,2024-09-17
1770,Overwegwachter,20,Overwegwachter 20,omgevingsvergunning,2023-11-05
1771,Zuster Van Dijkplein,142,Zuster Van Dijkplein 142,omgevingsvergunning,2025-10-21
1772,Kesterenstraat,27,Kesterenstraat 27,exploitatievergunning,2023-02-09
1773,Wim Schuhmacherhof,96,Wim Schuhmacherhof 96,terrasvergunning,2026-04-21
1774,Franselaan,118,Franselaan 118,omgevingsvergunning,2026-11-05
1775,Gaagstraat,108,Gaagstraat 108,exploitatievergunning,2025-01-17
1776,Vegelinsoord,135,Vegelinsoord 135,omgevingsvergunning,2027-03-08
1777,Henk van Spaandonckstraat,169,Henk van Spaandonckstraat 169,alcoholvergunning,2023-06-25
1778,Plaza,82,Plaza 82,omgevingsvergunning,2024-08-24
1779,Rietvinkstraat,116,Rietvinkstraat 116,omgevingsvergunning,2023-09-20
1780,Donnerstraat,12,Donnerstraat 12,exploitatievergunning,2026-01-24
1781,Van Maasdijkweg,35,Van Maasdijkweg 35,exploitatievergunning,2024-09-23
1782,Berliozlaan,123,Berliozlaan 123,omgevingsvergunning,2023-12-01
1783,Bichon van IJsselmondelaan,127,Bichon van IJsselmondelaan 127,alcoholvergunning,2026-01-04
1784,Vleeshouwerstraat,131,Vleeshouwerstraat 131,nachthoreca,2024-09-26
1785,1e Nieuwstraathof,44,1e Nieuwstraathof 44,exploitatievergunning,2022-09-11
1786,Tjalklaan,56,Tjalklaan 56,terrasvergunning,2023-11-15
1787,Eskampstraat,151,Eskampstraat 151,alcoholvergunning,2023-07-20
1788,Achterbroekdijk,140,Achterbroekdijk 140,alcoholvergunning,2023-03-26
1789,Kopenhagenstraat,62,Kopenhagenstraat 62,terrasvergunning,2026-10-27
1790,Otto van Tussenbroekstraat,44,Otto van Tussenbroekstraat 44,alcoholvergunning,2026-08-15
1791,Huub van den Brulestraat,181,Huub van den Brulestraat 181,nachthoreca,2027-05-06
1792,Mirretuin,134,Mirretuin 134,terrasvergunning,2025-04-10
1793,Floretstraat,145,Floretstraat 145,terrasvergunning,2026-05-03
1794,Laan van Dada,48,Laan van Dada 48,exploitatievergunning,2022-12-05
1795,IJzerwerkerkade,126,IJzerwerkerkade 126,omgevingsvergunning,2026-09-14
1796,Karakterplein,26,Karakterplein 26,alcoholvergunning,2024-05-12
1797,Kastanjeplein,24,Kastanjeplein 24,omgevingsvergunning,2023-09-27
1798,Libanonweg,84,Libanonweg 84,alcoholvergunning,2026-04-17
1799,Maskerbloemstraat,125,Maskerbloemstraat 125,nachthoreca,2025-05-01
1800,Klaarkamp,127,Klaarkamp 127,nachthoreca,2025-01-18
1801,Homerusstraat,183,Homerusstraat 183,alcoholvergunning,2024-10-27
1802,Liduinaplein,111,Liduinaplein 111,alcoholvergunning,2027-03-11
1803,Eudokiaplein,70,Eudokiaplein 70,nachthoreca,2023-08-19
1804,Jan Meertensstraat,142,Jan Meertensstraat 142,alcoholvergunning,2023-09-23
1805,Joris Hoeneveldstraat,127,Joris Hoeneveldstraat 127,omgevingsvergunning,2025-08-12
1806,Pottumstraat,27,Pottumstraat 27,omgevingsvergunning,2025-02-22
1807,Châlonsstraat,106,Châlonsstraat 106,omgevingsvergunning,2022-09-06
1808,Stadshagen,152,Stadshagen 152,alcoholvergunning,2023-01-24
1809,Vergiliusstraat,65,Vergiliusstraat 65,alcoholvergunning,2025-07-30
1810,Van Bijlandtplaats,166,Van Bijlandtplaats 166,exploitatievergunning,2026-08-07
1811,Gordelweg,129,Gordelweg 129,omgevingsvergunning,2024-08-22
1812,Finnjolstraat,112,Finnjolstraat 112,terrasvergunning,2025-01-11
1813,Angerestein,2,Angerestein 2,alcoholvergunning,2026-09-16
1814,Lindenhof,18,Lindenhof 18,exploitatievergunning,2027-01-23
1815,Turfweg,189,Turfweg 189,exploitatievergunning,2025-11-25
1816,Elzenoord,16,Elzenoord 16,nachthoreca,2025-01-10
1817,Mariniersweg,56,Mariniersweg 56,terrasvergunning,2025-03-01
1818,Landrélaan,62,Landrélaan 62,terrasvergunning,2025-03-08
1819,Meerdijk,195,Meerdijk 195,exploitatievergunning,2025-06-24
1820,Hoogvlietstraat,196,Hoogvlietstraat 196,exploitatievergunning,2023-05-01
1821,Hantje de Jongstraat,94,Hantje de Jongstraat 94,alcoholvergunning,2023-07-16
1822,IJsclubstraat,63,IJsclubstraat 63,omgevingsvergunning,2024-12-06
1823,Henri Eversstraat,81,Henri Eversstraat 81,alcoholvergunning,2024-12-24
1824,Pythagorasweg,88,Pythagorasweg 88,terrasvergunning,2026-02-12
1825,Churchillplein,85,Churchillplein 85,exploitatievergunning,2023-12-21
1826,Aalsdijk,82,Aalsdijk 82,nachthoreca,2023-06-01
1827,'s-Gravenweg,70,'s-Gravenweg 70,omgevingsvergunning,2022-06-28
1828,Raaigras,26,Raaigras 26,nachthoreca,2023-06-13
1829,Tassopad,58,Tassopad 58,terrasvergunning,2023-07-03
1830,Vreelustweg,91,Vreelustweg 91,alcoholvergunning,2023-10-31
1831,Lenny Tristanostraat,40,Lenny Tristanostraat 40,terrasvergunning,2022-12-28
1832,Zijdewindestraat,56,Zijdewindestraat 56,nachthoreca,2024-08-19
1833,Graaf Lodewijk van Nassaustraat,127,Graaf Lodewijk van Nassaustraat 127,terrasvergunning,2024-11-16
1834,Tarwestraat,120,Tarwestraat 120,terrasvergunning,2026-05-26
1835,Viergeverstraat,29,Viergeverstraat 29,exploitatievergunning,2025-10-10
1836,Ruivendwarsstraat,96,Ruivendwarsstraat 96,alcoholvergunning,2023-07-11
1837,Alard Duhameelstraat,16,Alard Duhameelstraat 16,alcoholvergunning,2024-11-12
1838,Kiesheidstraat,1,Kiesheidstraat 1,terrasvergunning,2024-09-28
1839,Berkenstein,71,Berkenstein 71,terrasvergunning,2025-01-07
1840,C.D.Tuinenburgstraat,146,C.D.Tuinenburgstraat 146,nachthoreca,2026-04-03
1841,Essenlaan,147,Essenlaan 147,exploitatievergunning,2026-08-21
1842,Multatulistraat,67,Multatulistraat 67,alcoholvergunning,2026-02-27
1843,Stokviswater,104,Stokviswater 104,alcoholvergunning,2024-02-11
1844,Contenderstraat,8,Contenderstraat 8,terrasvergunning,2023-11-27
1845,Terwenakker,17,Terwenakker 17,terrasvergunning,2024-04-11
1846,Vinckenbrinckstraat,44,Vinckenbrinckstraat 44,alcoholvergunning,2026-09-05
1847,Medusastraat,142,Medusastraat 142,nachthoreca,2027-03-17
1848,Van Duylstraat,51,Van Duylstraat 51,exploitatievergunning,2022-11-10
1849,Italiaansestraat,113,Italiaansestraat 113,nachthoreca,2024-10-25
1850,Leendert Sparreboomstraat,44,Leendert Sparreboomstraat 44,omgevingsvergunning,2023-09-17
1851,Ogierssingel,129,Ogierssingel 129,omgevingsvergunning,2023-08-24
1852,Lindendaal,5,Lindendaal 5,alcoholvergunning,2026-09-17
1853,Horatiusstraat,127,Horatiusstraat 127,omgevingsvergunning,2025-12-25
1854,Kruipbrem,104,Kruipbrem 104,omgevingsvergunning,2027-05-03
1855,Elsschotstraat,68,Elsschotstraat 68,alcoholvergunning,2026-04-28
1856,Gdyniapad,8,Gdyniapad 8,nachthoreca,2022-12-30
1857,Reigerpad,54,Reigerpad 54,terrasvergunning,2023-12-18
1858,Vletstraat,28,Vletstraat 28,terrasvergunning,2024-05-02
1859,RDM-kade,111,RDM-kade 111,alcoholvergunning,2025-02-07
1860,Klaarkamp,127,Klaarkamp 127,omgevingsvergunning,2023-12-30
1861,Rhijnauwensingel,82,Rhijnauwensingel 82,alcoholvergunning,2023-09-12
1862,Zaandijkstraat,97,Zaandijkstraat 97,omgevingsvergunning,2026-10-05
1863,Hamerdenstraat,191,Hamerdenstraat 191,alcoholvergunning,2024-08-09
1864,Vinkenlust,167,Vinkenlust 167,nachthoreca,2026-09-08
1865,Athenastraat,176,Athenastraat 176,exploitatievergunning,2024-06-07
1866,Thomas Mannplaats,71,Thomas Mannplaats 71,terrasvergunning,2023-08-22
1867,Vijf Werelddelen,158,Vijf Werelddelen 158,exploitatievergunning,2024-07-13
1868,Mosweg,120,Mosweg 120,terrasvergunning,2026-01-09
1869,Mijnsherenplein,61,Mijnsherenplein 61,alcoholvergunning,2025-03-23
1870,Brouwhuisstraat,102,Brouwhuisstraat 102,exploitatievergunning,2025-02-08
1871,Van Traaplaats,180,Van Traaplaats 180,terrasvergunning,2025-11-04
1872,Slangenburgplein,41,Slangenburgplein 41,alcoholvergunning,2025-02-17
1873,Schultz van Hagenstraat,10,Schultz van Hagenstraat 10,alcoholvergunning,2023-05-04
1874,Nachtegaalstraat,126,Nachtegaalstraat 126,terrasvergunning,2023-06-19
1875,Vredehofstraat,72,Vredehofstraat 72,exploitatievergunning,2026-02-19
1876,Erroll Garnerstraat,113,Erroll Garnerstraat 113,exploitatievergunning,2027-04-23
1877,Waterwerk,69,Waterwerk 69,alcoholvergunning,2024-05-17
1878,Putsebocht,122,Putsebocht 122,exploitatievergunning,2026-08-01
1879,De Lugt,191,De Lugt 191,exploitatievergunning,2023-01-21
1880,Cypergras,193,Cypergras 193,nachthoreca,2026-08-01
1881,Stadionweg,33,Stadionweg 33,alcoholvergunning,2022-10-14
1882,Van Cittersstraat,27,Van Cittersstraat 27,alcoholvergunning,2027-01-03
1883,Anthonetta Kuijlstraat,63,Anthonetta Kuijlstraat 63,exploitatievergunning,2026-06-19
1884,Druiventuin,21,Druiventuin 21,exploitatievergunning,2023-02-08
1885,C.N.A.Looslaan,118,C.N.A.Looslaan 118,terrasvergunning,2025-09-15
1886,Palamedesstraat,88,Palamedesstraat 88,nachthoreca,2022-09-27
1887,Letlandsestraat,163,Letlandsestraat 163,alcoholvergunning,2025-11-12
1888,Bospolderstraat,99,Bospolderstraat 99,terrasvergunning,2027-04-22
1889,Schultz van Hagenstraat,120,Schultz van Hagenstraat 120,nachthoreca,2026-08-04
1890,Kerstroosstraat,136,Kerstroosstraat 136,omgevingsvergunning,2024-06-15
1891,Villapark,122,Villapark 122,terrasvergunning,2025-11-30
1892,Brekelsveld,50,Brekelsveld 50,exploitatievergunning,2026-12-05
1893,Wormserstraat,184,Wormserstraat 184,exploitatievergunning,2022-10-28
1894,Grasstraat,32,Grasstraat 32,terrasvergunning,2022-11-27
1895,Tarakanpad,150,Tarakanpad 150,terrasvergunning,2027-02-13
1896,Aernt Bruunstraat,114,Aernt Bruunstraat 114,terrasvergunning,2026-07-13
1897,Grebbe,63,Grebbe 63,exploitatievergunning,2026-11-11
1898,Schopenhauerweg,114,Schopenhauerweg 114,terrasvergunning,2025-11-09
1899,Van Enckevoirtlaan,148,Van Enckevoirtlaan 148,nachthoreca,2025-08-02
1900,Wilgenstraat,78,Wilgenstraat 78,exploitatievergunning,2025-09-11
1901,Noordmolenstraat,57,Noordmolenstraat 57,alcoholvergunning,2027-05-26
1902,Hogenbanweg,74,Hogenbanweg 74,terrasvergunning,2026-08-19
1903,Wagenbergstraat,122,Wagenbergstraat 122,terrasvergunning,2023-10-03
1904,Nachtegaallaan,74,Nachtegaallaan 74,nachthoreca,2023-06-02
1905,Damhertstraat,36,Damhertstraat 36,exploitatievergunning,2027-01-18
1906,Parklaan,149,Parklaan 149,omgevingsvergunning,2023-08-19
1907,2e Schansstraat,179,2e Schansstraat 179,alcoholvergunning,2024-02-26
1908,Ismenestraat,121,Ismenestraat 121,terrasvergunning,2025-10-02
1909,Maurickerf,134,Maurickerf 134,alcoholvergunning,2026-06-16
1910,Kapiteinsbuurt,35,Kapiteinsbuurt 35,omgevingsvergunning,2022-08-29
1911,Dreverhavenstraat,120,Dreverhavenstraat 120,omgevingsvergunning,2023-03-10
1912,Hendrik Idoplein,147,Hendrik Idoplein 147,alcoholvergunning,2024-10-31
1913,Van Aerssenlaan,144,Van Aerssenlaan 144,omgevingsvergunning,2023-03-28
1914,Nederwaardpad,61,Nederwaardpad 61,alcoholvergunning,2027-05-07
1915,Hendrick Sorchstraat,143,Hendrick Sorchstraat 143,exploitatievergunning,2025-05-21
1916,Marinus Bolkplein,17,Marinus Bolkplein 17,terrasvergunning,2025-01-18
1917,Willem de Rijkestraat,84,Willem de Rijkestraat 84,omgevingsvergunning,2024-06-05
1918,Spartapark-Noord,109,Spartapark-Noord 109,alcoholvergunning,2025-08-21
1919,Stuttgartstraat,142,Stuttgartstraat 142,omgevingsvergunning,2027-06-01
1920,De la Reystraat,99,De la Reystraat 99,terrasvergunning,2025-05-09
1921,Dijkgraafstraat,93,Dijkgraafstraat 93,nachthoreca,2022-12-16
1922,Valenciadreef,52,Valenciadreef 52,exploitatievergunning,2023-01-10
1923,Bichon van IJsselmondelaan,32,Bichon van IJsselmondelaan 32,nachthoreca,2025-05-20
1924,Van Poeljeweg,182,Van Poeljeweg 182,alcoholvergunning,2023-08-07
1925,Admiraalswaard,48,Admiraalswaard 48,terrasvergunning,2024-07-20
1926,Oostzeedijk,92,Oostzeedijk 92,terrasvergunning,2024-08-04
1927,Bolnesserkade,140,Bolnesserkade 140,exploitatievergunning,2027-05-11
1928,Hobo,33,Hobo 33,exploitatievergunning,2026-03-06
1929,Branco van Dantzigstraat,23,Branco van Dantzigstraat 23,terrasvergunning,2023-08-23
1930,Pliniusstraat,106,Pliniusstraat 106,exploitatievergunning,2023-07-04
1931,Valenciadreef,98,Valenciadreef 98,omgevingsvergunning,2024-10-28
1932,Siondwarsstraat,1,Siondwarsstraat 1,nachthoreca,2025-05-21
1933,Azaleastraat,172,Azaleastraat 172,terrasvergunning,2024-09-25
1934,Schalk Burgerstraat,154,Schalk Burgerstraat 154,exploitatievergunning,2026-06-12
1935,Taselaarstraat,43,Taselaarstraat 43,alcoholvergunning,2024-01-19
1936,Van Goijenstraat,92,Van Goijenstraat 92,omgevingsvergunning,2025-02-03
1937,2e Opbouwstraat,163,2e Opbouwstraat 163,alcoholvergunning,2027-01-29
1938,Beiroetstraat,87,Beiroetstraat 87,alcoholvergunning,2023-10-05
1939,Speelmanstraat,67,Speelmanstraat 67,omgevingsvergunning,2027-02-20
1940,Bordeauxdreef,78,Bordeauxdreef 78,alcoholvergunning,2023-07-10
1941,Heemraadsplein,69,Heemraadsplein 69,alcoholvergunning,2023-05-16
1942,Lodewijk Pincoffsweg,10,Lodewijk Pincoffsweg 10,terrasvergunning,2026-11-22
1943,Staringplein,127,Staringplein 127,exploitatievergunning,2025-01-14
1944,Schoonderloostraat,149,Schoonderloostraat 149,terrasvergunning,2022-10-27
1945,Schopenhauerweg,161,Schopenhauerweg 161,alcoholvergunning,2024-03-21
1946,Stootblok,28,Stootblok 28,terrasvergunning,2027-01-02
1947,Boterdiep,90,Boterdiep 90,terrasvergunning,2023-05-17
1948,Bostelweg,187,Bostelweg 187,nachthoreca,2025-02-12
1949,Adrianalaan,143,Adrianalaan 143,alcoholvergunning,2022-09-18
1950,Schuttersstraat,180,Schuttersstraat 180,omgevingsvergunning,2023-03-19
1951,Zuurbes,165,Zuurbes 165,nachthoreca,2023-03-18
1952,Metroplein,159,Metroplein 159,exploitatievergunning,2026-11-23
1953,Mauritsweg,64,Mauritsweg 64,alcoholvergunning,2025-06-27
1954,Marie Baronstraat,51,Marie Baronstraat 51,exploitatievergunning,2025-10-18
1955,Aert van Nesstraat,104,Aert van Nesstraat 104,alcoholvergunning,2026-10-07
1956,Cor Vaandragerveld,183,Cor Vaandragerveld 183,nachthoreca,2027-05-22
1957,Radiostraat,129,Radiostraat 129,nachthoreca,2025-06-13
1958,Schaarweide,64,Schaarweide 64,exploitatievergunning,2023-01-18
1959,Lier,63,Lier 63,alcoholvergunning,2024-02-19
1960,René Magrittestraat,15,René Magrittestraat 15,exploitatievergunning,2026-01-02
1961,Lijsterbeslaan,169,Lijsterbeslaan 169,omgevingsvergunning,2023-04-03
1962,Vijf Werelddelen,146,Vijf Werelddelen 146,terrasvergunning,2023-10-11
1963,Johannes Jansoniushof,116,Johannes Jansoniushof 116,terrasvergunning,2024-10-14
1964,Duivendrechtstraat,149,Duivendrechtstraat 149,omgevingsvergunning,2023-08-24
1965,Oostmolenwerf,67,Oostmolenwerf 67,omgevingsvergunning,2026-07-05
1966,Van Wijngaardenlaan,98,Van Wijngaardenlaan 98,omgevingsvergunning,2024-03-06
1967,Nobelstraat,55,Nobelstraat 55,terrasvergunning,2025-08-15
1968,Beijingstraat,4,Beijingstraat 4,terrasvergunning,2025-02-14
1969,Middenhoefstraat,40,Middenhoefstraat 40,terrasvergunning,2025-01-02
1970,Volmarijnstraat,26,Volmarijnstraat 26,terrasvergunning,2023-10-29
1971,Melkpad,186,Melkpad 186,nachthoreca,2022-10-16
1972,Passiebloem,26,Passiebloem 26,omgevingsvergunning,2024-02-21
1973,Cees Wegerifhof,40,Cees Wegerifhof 40,alcoholvergunning,2026-09-26
1974,Spinbolplein,65,Spinbolplein 65,exploitatievergunning,2022-08-12
1975,Coolhaven,179,Coolhaven 179,omgevingsvergunning,2027-03-08
1976,Molenvijver,107,Molenvijver 107,omgevingsvergunning,2027-02-12
1977,Maashaven O.z.,66,Maashaven O.z. 66,terrasvergunning,2023-08-22
1978,Passiebloem,139,Passiebloem 139,omgevingsvergunning,2023-04-20
1979,Prinsemolenpad,35,Prinsemolenpad 35,terrasvergunning,2024-03-16
1980,Oude Binnenweg,181,Oude Binnenweg 181,terrasvergunning,2023-06-29
1981,Patrice Lumumbastraat,153,Patrice Lumumbastraat 153,alcoholvergunning,2025-07-24
1982,2e Stampioendwarsstraat,119,2e Stampioendwarsstraat 119,exploitatievergunning,2025-01-16
1983,Raampoortstraat,116,Raampoortstraat 116,nachthoreca,2023-06-12
1984,Piet Smitkade,5,Piet Smitkade 5,alcoholvergunning,2024-11-11
1985,Graaf Lodewijk van Nassaustraat,85,Graaf Lodewijk van Nassaustraat 85,omgevingsvergunning,2025-07-02
1986,Honingklaver,90,Honingklaver 90,exploitatievergunning,2023-09-28
1987,Branco van Dantzigstraat,140,Branco van Dantzigstraat 140,exploitatievergunning,2023-03-10
1988,Breevaartstraat,126,Breevaartstraat 126,alcoholvergunning,2026-12-08
1989,Burgemeester Hoffmanstraat,169,Burgemeester Hoffmanstraat 169,exploitatievergunning,2023-11-12
1990,Goudestein,177,Goudestein 177,nachthoreca,2026-11-02
1991,Cillershoekstraat,159,Cillershoekstraat 159,terrasvergunning,2023-04-22
1992,Minkestraat,71,Minkestraat 71,exploitatievergunning,2026-03-17
1993,Craandijkstraat,83,Craandijkstraat 83,omgevingsvergunning,2023-09-25
1994,Middelharnisstraat,60,Middelharnisstraat 60,alcoholvergunning,2027-02-24
1995,Honingerhof,24,Honingerhof 24,alcoholvergunning,2023-08-17
1996,Nachtegaalstraat,188,Nachtegaalstraat 188,terrasvergunning,2024-08-11
1997,Goudse Rijweg,118,Goudse Rijweg 118,exploitatievergunning,2024-02-16
1998,Elzenoord,13,Elzenoord 13,alcoholvergunning,2022-06-25
1999,Tiendstraat,26,Tiendstraat 26,exploitatievergunning,2025-11-18
2000,Panfluit,96,Panfluit 96,terrasvergunning,2025-12-16
2001,Delftse Poort,146,Delftse Poort 146,nachthoreca,2027-02-15
2002,Palissanderstraat,195,Palissanderstraat 195,exploitatievergunning,2025-09-20
2003,Van der Helmstraat,77,Van der Helmstraat 77,exploitatievergunning,2023-06-09
2004,Vreelustweg,79,Vreelustweg 79,terrasvergunning,2022-10-16
2005,Zilverschoonstraat,183,Zilverschoonstraat 183,exploitatievergunning,2022-11-01
2006,Citer,24,Citer 24,nachthoreca,2024-06-03
2007,Dinkel,13,Dinkel 13,omgevingsvergunning,2023-01-19
2008,Laan van Magisch Realisme,159,Laan van Magisch Realisme 159,alcoholvergunning,2023-01-26
2009,Schoenerplaats,185,Schoenerplaats 185,alcoholvergunning,2026-07-07
2010,Maria Wesselingstraat,2,Maria Wesselingstraat 2,omgevingsvergunning,2023-08-28
2011,Heerjanstraat,135,Heerjanstraat 135,exploitatievergunning,2023-07-27
2012,'s-Gravendijkwal,69,'s-Gravendijkwal 69,alcoholvergunning,2026-09-14
2013,Varnasingel,69,Varnasingel 69,omgevingsvergunning,2022-10-07
2014,1e Westewagenhof,134,1e Westewagenhof 134,nachthoreca,2026-08-24
2015,Jan Kwakplaats,183,Jan Kwakplaats 183,exploitatievergunning,2023-04-28
2016,Duivendrechtstraat,170,Duivendrechtstraat 170,omgevingsvergunning,2026-08-20
2017,Koldeweypad,114,Koldeweypad 114,omgevingsvergunning,2025-10-11
2018,Giessenweg,46,Giessenweg 46,exploitatievergunning,2024-03-21
2019,Tjaskerlaan,166,Tjaskerlaan 166,omgevingsvergunning,2024-08-01
2020,Aar,5,Aar 5,nachthoreca,2024-06-19
2021,Voetjesstraat,50,Voetjesstraat 50,omgevingsvergunning,2023-11-01
2022,Blekerslaan,147,Blekerslaan 147,exploitatievergunning,2023-10-22
2023,Waalhaven W.z.,144,Waalhaven W.z. 144,terrasvergunning,2026-07-15
2024,Johannes-Brandstraat,29,Johannes-Brandstraat 29,nachthoreca,2025-04-13
2025,Albinusstraat,158,Albinusstraat 158,omgevingsvergunning,2026-11-16
2026,Marie Baronstraat,116,Marie Baronstraat 116,exploitatievergunning,2023-07-01
2027,Nieuwstraat,195,Nieuwstraat 195,nachthoreca,2023-09-08
2028,Parallelweg,142,Parallelweg 142,nachthoreca,2027-06-15
2029,Ekelenburg,66,Ekelenburg 66,alcoholvergunning,2025-07-23
2030,Korte Hoogstraat,180,Korte Hoogstraat 180,omgevingsvergunning,2023-05-09
2031,Edelweisslaan,38,Edelweisslaan 38,omgevingsvergunning,2023-06-07
2032,Winterkoningstraat,153,Winterkoningstraat 153,terrasvergunning,2022-10-22
2033,Voorstraat,130,Voorstraat 130,alcoholvergunning,2023-12-12
2034,Drionpad,82,Drionpad 82,terrasvergunning,2025-09-17
2035,De Damhouderstraat,152,De Damhouderstraat 152,terrasvergunning,2025-02-10
2036,Elisabethstraat,5,Elisabethstraat 5,terrasvergunning,2026-07-03
2037,Kettingstraat,5,Kettingstraat 5,nachthoreca,2022-12-26
2038,Ganzenoord,157,Ganzenoord 157,alcoholvergunning,2023-05-06
2039,2e Katendrechtsehaven,37,2e Katendrechtsehaven 37,exploitatievergunning,2024-09-12
2040,Kiesheidstraat,12,Kiesheidstraat 12,exploitatievergunning,2026-12-13
2041,Weena,31,Weena 31,terrasvergunning,2025-11-17
2042,Heijplaatstraat,103,Heijplaatstraat 103,omgevingsvergunning,2026-10-21
2043,Nemelaersingel,30,Nemelaersingel 30,nachthoreca,2026-06-09
2044,Geerkensstraat,173,Geerkensstraat 173,nachthoreca,2023-05-27
2045,Barcelonastraat,77,Barcelonastraat 77,exploitatievergunning,2024-12-31
2046,Tweelingenstraat,37,Tweelingenstraat 37,nachthoreca,2025-11-19
2047,Bremstraat,2,Bremstraat 2,omgevingsvergunning,2025-07-11
2048,Koekamp,63,Koekamp 63,omgevingsvergunning,2025-02-16
2049,Pieter Klapwijkstraat,145,Pieter Klapwijkstraat 145,terrasvergunning,2022-06-25
2050,Pierre Cardinstraat,86,Pierre Cardinstraat 86,terrasvergunning,2026-04-23
2051,Touwbaan,89,Touwbaan 89,nachthoreca,2022-12-20
2052,Kiotoweg,4,Kiotoweg 4,exploitatievergunning,2025-10-21
2053,Joostingstraat,68,Joostingstraat 68,omgevingsvergunning,2022-10-08
2054,Droogbloem,118,Droogbloem 118,terrasvergunning,2025-10-03
2055,Koperpad,132,Koperpad 132,alcoholvergunning,2025-04-11
2056,Struweel,77,Struweel 77,omgevingsvergunning,2024-03-25
2057,Huniahof,35,Huniahof 35,exploitatievergunning,2023-01-14
2058,Eliotplaats,149,Eliotplaats 149,alcoholvergunning,2024-07-16
2059,Rietstapstraat,182,Rietstapstraat 182,nachthoreca,2022-11-30
2060,Beekweg,44,Beekweg 44,nachthoreca,2024-07-05
2061,Sluisjesdijk,12,Sluisjesdijk 12,omgevingsvergunning,2026-09-26
2062,Manuel de Fallapad,188,Manuel de Fallapad 188,omgevingsvergunning,2026-12-04
2063,Kurt Schwittersstraat,112,Kurt Schwittersstraat 112,alcoholvergunning,2024-02-15
2064,Klaphek,66,Klaphek 66,omgevingsvergunning,2025-04-06
2065,Leermos,179,Leermos 179,omgevingsvergunning,2027-04-11
2066,Spuikreek,143,Spuikreek 143,exploitatievergunning,2022-08-04
2067,Overzetveer,87,Overzetveer 87,alcoholvergunning,2023-03-18
